NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,5.23404255319149,47,4,2017
Letras-Português (Licenciatura) (1158116),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.233333333333333,30,23,2017
Geografia (Licenciatura) (13407),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.232558139534884,43,14,2017
Geografia (Licenciatura) (13407),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.228571428571429,35,19,2017
Engenharia de Alimentos (112294),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.225806451612903,31,20,2017
Letras-Português (Licenciatura) (1158116),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.225806451612903,31,7,2017
Pedagogia (Licenciatura) (13410),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.223529411764706,85,9,2017
Engenharia (1106561),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.222222222222222,27,10,2017
Engenharia (1106562),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.222222222222222,18,10,2017
Engenharia (1106562),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.222222222222222,18,13,2017
Matemática (Licenciatura) (1152880),UFCG,PB,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.222222222222222,18,4,2017
Engenharia (1106561),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.222222222222221,27,23,2017
Engenharia (1106561),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.222222222222221,27,15,2017
História (Licenciatura) (13405),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.219178082191781,73,18,2017
